id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	license
18894910	Apartamento atocha	131666468	Maria Lourdes	Retiro	Pacífico	40.40651	-3.68203	Entire home/apt	45	4	0			1	0	0	
18648109	Jose	129573308	Irina	Hortaleza	Canillas	40.4649	-3.62974	Private room	28	1	0			1	0	0	
18895142	Centrica Habitacio doble	2993477	Clara	Tetuán	Berruguete	40.45913	-3.70417	Private room	29	1	41	2022-06-06	0.75	4	62	14	
18649429	Apartaestudio súper económico en Madrid Centro.	129584698	Peter.	Centro	Embajadores	40.40944	-3.69952	Entire home/apt	52	1	219	2022-05-10	3.55	2	212	37	
19036745	Cozy and Quiet 2BR Apt in Sol	20155072	Gerardo	Centro	Sol	40.41563	-3.70491	Entire home/apt	85	3	3	2018-12-09	0.05	1	0	0	
18910855	Atractivo piso en el barrio  de Malasaña	2931421	Daniel	Centro	Universidad	40.42651	-3.70558	Entire home/apt	95	2	121	2022-05-29	1.98	7	67	27	03/313194.9/17
19043049	Buhardilla en Chueca	17812618	Eva	Centro	Justicia	40.42386	-3.69759	Entire home/apt	260	1	4	2017-07-02	0.07	1	0	0	
18652834	Modern Flat  in Chueca Madrid 2	1771095	Hans	Centro	Justicia	40423	-3.69797	Entire home/apt	123	4	64	2022-05-31	1.04	6	191	10	
18914394	Habitación individual Príncipe Pío Zona centro	116985999	Antonio	Moncloa - Aravaca	Casa de Campo	40.42439	-3.72617	Private room	14	7	0			1	0	0	
18659250	Very basic interior priv. Room.	901218	Myrko	Centro	Cortes	40.41593	-3.69796	Private room	46	1	78	2022-05-30	1.30	27	365	8	
18920549	Cozy room double bed in Malasaña	8405202	Diana	Centro	Justicia	40.42814	-3.70131	Private room	35	28	10	2022-04-10	0.17	3	153	3	
19046157	ENTRE EL MUSEO DEL PRADO Y EL PARQUE DEL RETIRO	113017051	Diego	Retiro	Pacífico	40.4036	-3.68244	Entire home/apt	475	2	0			2	83	0	
18922191	Descanso y Tranquilidad	131888322	Descanso Y Tranquilidad	Centro	Palacio	40.41015	-3.71252	Private room	39	1	71	2021-06-06	1.16	2	0	0	
18924082	ALOJAMIENTO ENTERO MADRID CENTRO	95509779	Ana	Latina	Puerta del Angel	40.41412	-3.72563	Entire home/apt	70	6	24	2022-05-22	0.39	1	2	6	VT-4135
19046530	I HAVE ALL YOU WANT, YOU'LL COME BACK :)	5298015	Diego	Centro	Palacio	40.41244	-3.71161	Entire home/apt	67	2	177	2022-05-23	2.95	3	322	41	vt-3453
18660406	Cozy flat city center	13892378	Yaiza	Centro	Embajadores	40.40836	-3.70096	Entire home/apt	329	60	114	2020-03-02	1.97	1	355	0	VT-4248
18661514	Habitación Privada en Argüelles!	19307326	Jeny	Moncloa - Aravaca	Argüelles	40.43132	-3.71893	Private room	30	1	19	2017-12-03	0.31	1	0	0	
18662487	Amplia y cómoda vivienda en Puerta del Ángel.	1957992	Paul And Luz	Moncloa - Aravaca	Casa de Campo	40.4149	-3.72888	Entire home/apt	60	5	3	2017-08-06	0.05	1	0	0	
18924805	Habitación Verde Privada 2 Personas - Callao	3447304	Charles Eric	Centro	Universidad	40.42043	-3.70451	Private room	46	2	211	2022-05-23	3.44	4	31	60	
18932588	COZY, CUTE, AND INTIMATE STUDIO  IN LAVAPIES	120066393	Lola	Centro	Embajadores	40.41006	-3.70227	Entire home/apt	55	3	205	2022-05-27	3.36	11	306	33	
18938910	Fuencarral street room, private bathroom F 28	107335103	Daniel	Centro	Universidad	40.4229	-3.70199	Private room	45	1	229	2021-07-12	3.80	86	0	5	
18663087	Walk to the Prado from a Simple and Chic Apartment with free parking	86055764	Alberto	Arganzuela	Atocha	40.40095	-3.68618	Entire home/apt	115	1	204	2022-05-18	3.31	1	173	19	VT - 3716
19047326	Greate Double Private Room in Madrid Center	132214458	Martin	Centro	Universidad	40.42607	-3.71046	Private room	40	1	2	2017-07-04	0.03	1	0	0	
19048458	Double room in Chueca, with private bathroom F 09	107335103	Daniel	Centro	Universidad	40.42264	-3.70185	Private room	37	1	256	2021-05-18	4.28	86	0	0	
18939260	La casita vintage .Paseo de las delicias	120411706	Javier	Arganzuela	Chopera	40.39433	-3.69578	Entire home/apt	96	2	86	2022-05-24	1.41	2	127	32	
19049267	Beautiful spacious apartment in central Madrid	9219542	Bec	Centro	Cortes	40.41502	-3.69868	Entire home/apt	126	7	10	2019-06-02	0.17	1	0	0	
18942744	Habitación	132052020	Sofia	Salamanca	Lista	40.43381	-3.67598	Private room	1788	50	1	2017-06-30	0.02	1	363	0	
18667319	"Habitación Madrid Centro, Atocha
Room near Atocha"	87730856	Dani	Arganzuela	Chopera	40.40091	-3.69928	Private room	22	3	1	2017-07-06	0.02	1	0	0	
18945412	Habitación con vistas a la calle, muy centrica	14713230	Maria	Centro	Embajadores	40.4086	-3.70448	Private room	66	2	95	2022-06-02	1.56	3	356	27	
18670219	Cozy and centric apartment	24491907	Claudia	Moncloa - Aravaca	Argüelles	40.42755	-3.71407	Entire home/apt	80	3	43	2022-04-25	0.72	1	189	13	
18671014	Double Room - Duque de Alba (near Plaza Mayor)	39172650	Raúl	Centro	Embajadores	40.41201	-3.70642	Private room	179	1	0			1	0	0	
19050255	Madrid centro. Malasaña/Chueca	26264376	Ana	Centro	Universidad	40423	-3.70398	Entire home/apt	280	3	31	2022-05-08	0.51	1	68	4	
18947268	Private room, double bed SOL- CENTER	132095385	WioyGaby	Centro	Cortes	40.41423	-3.70184	Private room	35	2	17	2018-08-29	0.29	1	0	0	
19050549	Habitación otaku, super céntrica.	14713230	Maria	Centro	Embajadores	40.41052	-3.70578	Private room	50	6	5	2022-03-31	0.08	3	342	2	
18671298	Habitación individual baño privado cerca a atocha	128598612	Jose	Chamberí	Gaztambide	40.43071	-3.71527	Private room	55	1	0			1	0	0	
18947443	Como en tu casa (How In Your Home )	63334588	Juana	Moratalaz	Marroquina	40.40998	-3.6499	Private room	16	1	126	2022-06-07	2.18	1	270	88	
18681252	Casa familiar idónea como campamento base	96986176	Beatriz	Usera	Moscardó	40.3887	-3.70611	Entire home/apt	69	6	0			1	0	0	
18688866	Toledino Golden Apartment - Barrio La Latina	40877988	Raul	Centro	Palacio	40.41163	-3.70847	Entire home/apt	109	1	240	2022-05-24	3.91	70	116	60	VT-3160
